lotplan,date,harvested_tonnes,min_N,max_N,leaf_water_content,sugar_made,dollar_made
106CI761,2019-08-09,764.014,111.0161663,126.0161663,0.685694158,115.759696969697,16808.308
10RP736246,2016-12-22,0,115.4845815,130.4845815,0.713156895,0,0
10RP736246,2017-01-01,0,101.0766807,116.0766807,0.682428301,0,0
10RP736246,2017-01-11,0,106.1272545,121.1272545,0.736291289,0,0
10RP736246,2017-02-10,0,91.10119048,106.1011905,0.701726159,0,0
10RP736246,2017-02-20,0.977,85.30784508,100.3078451,0.760584924,0.148030303030303,21.494
10RP736246,2017-03-02,52.758,109.3441763,124.3441763,0.635701486,7.99363636363636,1160.676
10RP736246,2017-03-12,0,118.0780781,133.0780781,0.803350037,0,0
10RP736246,2017-04-01,2.931,99.51807229,114.5180723,0.782881317,0.444090909090909,64.482
10RP736246,2017-04-11,0,99.21236291,114.2123629,0.750447054,0,0
10RP736246,2017-05-01,979.931,,,,148.474393939394,21558.482
10RP736246,2017-05-11,0,93.76876877,108.7687688,0.767763326,0,0
10RP736246,2017-05-21,0,97.91291291,112.9129129,0.701751957,0,0
10RP736246,2017-05-31,21.494,96.6171955,111.6171955,0.701002175,3.25666666666667,472.868
10RP736246,2017-06-20,118.217,101.3025701,116.3025701,0.778577114,17.9116666666667,2600.774
10RP736246,2017-07-10,19.54,124.4497608,139.4497608,0.647375453,2.96060606060606,429.88
10RP736246,2017-07-20,31.264,108.2089552,123.2089552,0.749509663,4.7369696969697,687.808
10RP736246,2017-07-30,0,124.8450536,139.8450536,0.65928861,0,0
10RP736246,2017-08-09,104.539,127.0491803,142.0491803,0.647578105,15.8392424242424,2299.858
10RP736246,2017-08-19,53.735,133.5598227,148.5598227,0.681461295,8.14166666666667,1182.17
10RP736246,2017-09-08,264.767,135,150,0.637472144,40.1162121212121,5824.874
10RP736246,2017-09-18,0,135,150,0.754743503,0,0
10RP736246,2017-09-28,981.885,135,150,0.631964898,148.770454545455,21601.47
10RP736246,2017-10-08,13.678,135,150,0.594171952,2.07242424242424,300.916
10RP736246,2017-10-28,0,130,145,0.607008843,0,0
10RP736246,2017-11-07,0,125.390625,140.390625,0.622531118,0,0
10RP736246,2017-11-17,0,135,150,0.72058183,0,0
10RP736246,2017-11-27,698.555,134.9509804,149.9509804,0.540771238,105.841666666667,15368.21
10RP736246,2017-12-07,0,122.3177083,137.3177083,0.580865892,0,0
10RP736246,2017-12-17,0,119.3856655,134.3856655,0.561887623,0,0
10RP736246,2017-12-27,3.908,122.1649485,137.1649485,0.608976318,0.592121212121212,85.976
10RP736246,2018-01-06,201.262,135,150,0.640184102,30.4942424242424,4427.764
10RP736246,2018-01-26,0,135,150,0.594584394,0,0
10RP736246,2018-02-15,727.865,134.9456522,149.9456522,0.64944946,110.282575757576,16013.03
10RP736246,2018-03-17,0,99.15603533,114.1560353,0.660077792,0,0
10RP736246,2018-04-16,55.689,110.1299376,125.1299376,0.67289267,8.43772727272727,1225.158
10RP736246,2018-04-26,108.447,99.306698,114.306698,0.692943024,16.4313636363636,2385.834
10RP736246,2018-05-06,55.689,134.395466,149.395466,0.739481636,8.43772727272727,1225.158
10RP736246,2018-05-26,0,127.4731824,142.4731824,0.655785629,0,0
10RP736246,2018-06-05,6.839,114.2848558,129.2848558,0.623533392,1.03621212121212,150.458
10RP736246,2018-06-15,0,124.5683453,139.5683453,0.616533377,0,0
10RP736246,2018-06-25,210.055,132.4798061,147.4798061,0.616091948,31.8265151515152,4621.21
10RP736246,2018-07-05,248.158,134.7123288,149.7123288,0.585439785,37.599696969697,5459.476
10RP736246,2018-07-15,83.045,132.6964286,147.6964286,0.602937674,12.5825757575758,1826.99
10RP736246,2018-07-25,79.137,134.6231156,149.6231156,0.638230168,11.9904545454545,1741.014
10RP736246,2018-08-04,22.471,135,150,0.600454796,3.40469696969697,494.362
10RP736246,2018-08-14,125.056,135,150,0.645589214,18.9478787878788,2751.232
10RP736246,2018-08-24,16.609,135,150,0.655430272,2.51651515151515,365.398
10RP736246,2018-09-03,30.287,,,,4.58893939393939,666.314
10RP736246,2018-09-13,0,135,150,0.735547079,0,0
10RP736246,2018-10-03,0,135,150,0.669404915,0,0
10RP736246,2018-10-23,0.977,,,,0.148030303030303,21.494
10RP736246,2018-11-02,0,,,,0,0
10RP736246,2018-11-12,0,,,,0,0
10RP736246,2018-11-22,0,135,150,0.587269057,0,0
10RP736246,2018-12-02,2.931,135,150,0.677424625,0.444090909090909,64.482
10RP736246,2019-01-01,0,135,150,0.6627452,0,0
10RP736246,2019-01-21,202.239,102.6693227,117.6693227,0.614431585,30.6422727272727,4449.258
10RP736246,2019-02-20,132.872,101.557377,116.557377,0.718720989,20.1321212121212,2923.184
10RP736246,2019-03-02,0,104.0389016,119.0389016,0.661254988,0,0
10RP736246,2019-03-12,0,101.4473684,116.4473684,0.693873274,0,0
10RP736246,2019-04-11,287.238,135,150,0.657831635,43.5209090909091,6319.236
10RP736246,2019-04-21,0,110.2962963,125.2962963,0.649867182,0,0
10RP736246,2019-05-01,339.996,135,150,0.681753526,51.5145454545455,7479.912
10RP736246,2019-05-11,0,99.23887588,114.2388759,0.682761051,0,0
10RP736246,2019-05-21,0,135,150,0.567673473,0,0
10RP736246,2019-06-10,405.455,134.6484375,149.6484375,0.605037191,61.4325757575758,8920.01
10RP736246,2019-06-20,181.722,102.4233129,117.4233129,0.700030708,27.5336363636364,3997.884
10RP736246,2019-06-30,1.954,108.75,123.75,0.679088269,0.296060606060606,42.988
10RP736246,2019-07-20,8.793,111.9047619,126.9047619,0.647425887,1.33227272727273,193.446
10RP736246,2019-07-30,1.954,116.5495208,131.5495208,,0.296060606060606,42.988
10RP736246,2019-08-09,67.413,115.8811475,130.8811475,0.665087362,10.2140909090909,1483.086
10RP747768,2016-12-22,0,134.625,149.625,0.617816047,0,0
10RP747768,2017-01-01,0,125.3761062,140.3761062,0.569412168,0,0
10RP747768,2017-01-11,111.378,135,150,0.549243111,16.8754545454545,2450.316
10RP747768,2017-02-10,32.241,135,150,0.568167929,4.885,709.302
10RP747768,2017-02-20,0,111.3253012,126.3253012,0.641468714,0,0
10RP747768,2017-03-02,0,134.8282443,149.8282443,0.644097932,0,0
10RP747768,2017-03-12,0,93.2173913,108.2173913,0.682304801,0,0
10RP747768,2017-04-01,0,100.0434783,115.0434783,0.759228441,0,0
10RP747768,2017-04-11,0,104.173913,119.173913,0.69608988,0,0
10RP747768,2017-05-01,34.195,135,150,0.509385663,5.18106060606061,752.29
10RP747768,2017-05-11,0,93.08695652,108.0869565,0.714435589,0,0
10RP747768,2017-05-21,93.792,113.9759036,128.9759036,0.610809714,14.2109090909091,2063.424
10RP747768,2017-05-31,0,106.3478261,121.3478261,0.689074674,0,0
10RP747768,2017-06-20,7.816,103.3976261,118.3976261,0.731776704,1.18424242424242,171.952
10RP747768,2017-07-10,228.618,135,150,0.576945957,34.6390909090909,5029.596
10RP747768,2017-07-20,0,102.804878,117.804878,0.734649511,0,0
10RP747768,2017-07-30,126.033,122.1105528,137.1105528,0.599692928,19.0959090909091,2772.726
10RP747768,2017-08-09,194.423,,,,29.4580303030303,4277.306
10RP747768,2017-08-19,0,,,,0,0
10RP747768,2017-09-08,0,,,,0,0
10RP747768,2017-09-18,0,135,150,0.565017314,0,0
10RP747768,2017-09-28,1.954,,,,0.296060606060606,42.988
10RP747768,2017-10-08,0,,,,0,0
10RP747768,2017-10-28,0,,,,0,0
10RP747768,2017-11-07,0,,,,0,0
10RP747768,2017-11-17,0,,,,0,0
10RP747768,2017-11-27,0,,,,0,0
10RP747768,2017-12-07,0,101.0126582,116.0126582,0.664635898,0,0
10RP747768,2017-12-17,0,119.8695652,134.8695652,0.70390608,0,0
10RP747768,2017-12-27,13.678,99.38066465,114.3806647,0.693411853,2.07242424242424,300.916
10RP747768,2018-01-06,0,110.5473373,125.5473373,0.651096582,0,0
10RP747768,2018-01-26,0,135,150,0.506293023,0,0
10RP747768,2018-02-15,334.134,135,150,0.601894491,50.6263636363637,7350.948
10RP747768,2018-03-17,0,118.6956522,133.6956522,0.760753911,0,0
10RP747768,2018-04-16,168.044,132.3988439,147.3988439,0.611650024,25.4612121212121,3696.968
10RP747768,2018-04-26,0,95.96439169,110.9643917,0.699972754,0,0
10RP747768,2018-05-06,79.137,123.9257813,138.9257813,0.650089573,11.9904545454545,1741.014
10RP747768,2018-05-26,0,100.9411765,115.9411765,0.646675271,0,0
10RP747768,2018-06-05,2.931,100.0593472,115.0593472,0.653832234,0.444090909090909,64.482
10RP747768,2018-06-15,75.229,116.3653846,131.3653846,0.632015824,11.3983333333333,1655.038
10RP747768,2018-06-25,84.022,132.0689655,147.0689655,0.613134793,12.7306060606061,1848.484
10RP747768,2018-07-05,169.998,,,,25.7572727272727,3739.956
10RP747768,2018-07-15,0,133.5,148.5,0.577836138,0,0
10RP747768,2018-07-25,44.942,135,150,0.609583346,6.80939393939394,988.724
10RP747768,2018-08-04,72.298,,,,10.9542424242424,1590.556
10RP747768,2018-08-14,0,,,,0,0
10RP747768,2018-08-24,0,,,,0,0
10RP747768,2018-09-03,0,,,,0,0
10RP747768,2018-09-13,0,,,,0,0
10RP747768,2018-10-03,0,,,,0,0
10RP747768,2018-10-23,0,,,,0,0
10RP747768,2018-11-02,0,,,,0,0
10RP747768,2018-11-12,0,125,140,0.646982626,0,0
10RP747768,2018-11-22,5.862,,,,0.888181818181818,128.964
10RP747768,2018-12-02,0,131.3181818,146.3181818,0.665066652,0,0
10RP747768,2019-01-01,107.47,,,,16.2833333333333,2364.34
10RP747768,2019-01-21,0,98.14540059,113.1454006,0.675281782,0,0
10RP747768,2019-02-20,0,96,111,0.746679438,0,0
10RP747768,2019-03-02,78.16,129.2830189,144.2830189,0.696192917,11.8424242424242,1719.52
10RP747768,2019-03-12,0,93.86956522,108.8695652,0.742990578,0,0
10RP747768,2019-04-11,232.526,135,150,0.665028168,35.2312121212121,5115.572
